A                              Current cost: 0
A-B-A-B-A-H-A-H-G              Current cost: 26
A-B-A-B-A-H-A-H-G-C            Current cost: 29
A-B-A-B-A-H-A-H-G-H            Current cost: 28
A-B-A-B-A-H-A-H-G-D            Current cost: 34
A-B-A-B-A-H-A-H-G-F            Current cost: 30
A-B-A-B-A-H-B                  Current cost: 21
A-B-A-B-A-H-B-A                Current cost: 24
A-B-A-B-A-H-B-A-B              Current cost: 27
A-B-A-B-A-H-B-A-B-A            Current cost: 30
A-B-A-B-A-H-B-A-B-C            Current cost: 31
A-B-A-B-A-H-B-A-B-H            Current cost: 32
A-B-A-B-A-H-B-A-H              Current cost: 28
A-B-A-B-A-H-B-A-H-A            Current cost: 32
A-B-A-B-A-H-B-A-H-B            Current cost: 33
A-B-A-B-A-H-B-A-H-G            Current cost: 30
A-B-A-B-A-H-B-C                Current cost: 25
A-B-A-B-A-H-B-C-B              Current cost: 29
A-B-A-B-A-H-B-C-B-A            Current cost: 32
A-B-A-B-A-H-B-C-B-C            Current cost: 33
A-B-A-B-A-H-B-C-B-H            Current cost: 34
A-B-A-B-A-H-B-C-G              Current cost: 28
A-B-A-B-A-H-B-C-G-C            Current cost: 31
A-B-A-B-A-H-B-C-G-H            Current cost: 30
A-B-A-B-A-H-B-C-G-D            Current cost: 36
A-B-A-B-A-H-B-C-G-F            Current cost: 32
A-B-A-B-A-H-B-C-D              Current cost: 33
A-B-A-B-A-H-B-C-D-C            Current cost: 41
A-B-A-B-A-H-B-C-D-G            Current cost: 41
A-B-A-B-A-H-B-C-D-E            Current cost: 35
A-B-A-B-A-H-B-C-D-F            Current cost: 36
A-B-A-B-A-H-B-H                Current cost: 26
A-B-A-B-A-H-B-H-A              Current cost: 30
A-B-A-B-A-H-B-H-A-B            Current cost: 33
A-B-A-B-A-H-B-H-A-H            Current cost: 34
A-B-A-B-A-H-B-H-B              Current cost: 31
A-B-A-B-A-H-B-H-B-A            Current cost: 34
A-B-A-B-A-H-B-H-B-C            Current cost: 35
A-B-A-B-A-H-B-H-B-H            Current cost: 36
A-B-A-B-A-H-B-H-G              Current cost: 28
A-B-A-B-A-H-B-H-G-C            Current cost: 31
A-B-A-B-A-H-B-H-G-H            Current cost: 30
A-B-A-B-A-H-B-H-G-D            Current cost: 36
A-B-A-B-A-H-B-H-G-F            Current cost: 32
A-B-A-B-A-H-G                  Current cost: 18
A-B-A-B-A-H-G-C                Current cost: 21
A-B-A-B-A-H-G-C-B              Current cost: 25
A-B-A-B-A-H-G-C-B-A            Current cost: 28
A-B-A-B-A-H-G-C-B-C            Current cost: 29
A-B-A-B-A-H-G-C-B-H            Current cost: 30
A-B-A-B-A-H-G-C-G              Current cost: 24
A-B-A-B-A-H-G-C-G-C            Current cost: 27
A-B-A-B-A-H-G-C-G-H            Current cost: 26
A-B-A-B-A-H-G-C-G-D            Current cost: 32
A-B-A-B-A-H-G-C-G-F            Current cost: 28
A-B-A-B-A-H-G-C-D              Current cost: 29
A-B-A-B-A-H-G-C-D-C            Current cost: 37
A-B-A-B-A-H-G-C-D-G            Current cost: 37
A-B-A-B-A-H-G-C-D-E            Current cost: 31
A-B-A-B-A-H-G-C-D-F            Current cost: 32
A-B-A-B-A-H-G-H                Current cost: 20
A-B-A-B-A-H-G-H-A              Current cost: 24
A-B-A-B-A-H-G-H-A-B            Current cost: 27
A-B-A-B-A-H-G-H-A-H            Current cost: 28
A-B-A-B-A-H-G-H-B              Current cost: 25
A-B-A-B-A-H-G-H-B-A            Current cost: 28
A-B-A-B-A-H-G-H-B-C            Current cost: 29
A-B-A-B-A-H-G-H-B-H            Current cost: 30
A-B-A-B-A-H-G-H-G              Current cost: 22
A-B-A-B-A-H-G-H-G-C            Current cost: 25
A-B-A-B-A-H-G-H-G-H            Current cost: 24
A-B-A-B-A-H-G-H-G-D            Current cost: 30
A-B-A-B-A-H-G-H-G-F            Current cost: 26
A-B-A-B-A-H-G-D                Current cost: 26
A-B-A-B-A-H-G-D-C              Current cost: 34
A-B-A-B-A-H-G-D-C-B            Current cost: 38
A-B-A-B-A-H-G-D-C-G            Current cost: 37
A-B-A-B-A-H-G-D-C-D            Current cost: 42
A-B-A-B-A-H-G-D-G              Current cost: 34
A-B-A-B-A-H-G-D-G-C            Current cost: 37
A-B-A-B-A-H-G-D-G-H            Current cost: 36
A-B-A-B-A-H-G-D-G-D            Current cost: 42
A-B-A-B-A-H-G-D-G-F            Current cost: 38
A-B-A-B-A-H-G-D-E              Current cost: 28
A-B-A-B-A-H-G-D-F              Current cost: 29
A-B-A-B-A-H-G-D-F-G            Current cost: 33
A-B-A-B-A-H-G-D-F-D            Current cost: 32
A-B-A-B-A-H-G-F                Current cost: 22
A-B-A-B-A-H-G-F-G              Current cost: 26
A-B-A-B-A-H-G-F-G-C            Current cost: 29
A-B-A-B-A-H-G-F-G-H            Current cost: 28
A-B-A-B-A-H-G-F-G-D            Current cost: 34
A-B-A-B-A-H-G-F-G-F            Current cost: 30
A-B-A-B-A-H-G-F-D              Current cost: 25
A-B-A-B-A-H-G-F-D-C            Current cost: 33
A-B-A-B-A-H-G-F-D-G            Current cost: 33
A-B-A-B-A-H-G-F-D-E            Current cost: 27
A-B-A-B-A-H-G-F-D-F            Current cost: 28
A-B-A-B-C                      Current cost: 13
A-B-A-B-C-B                    Current cost: 17
A-B-A-B-C-B-A                  Current cost: 20
A-B-A-B-C-B-A-B                Current cost: 23
A-B-A-B-C-B-A-B-A              Current cost: 26
A-B-A-B-C-B-A-B-A-B            Current cost: 29
A-B-A-B-C-B-A-B-A-H            Current cost: 30
A-B-A-B-C-B-A-B-C              Current cost: 27
A-B-A-B-C-B-A-B-C-B            Current cost: 31
A-B-A-B-C-B-A-B-C-G            Current cost: 30
A-B-A-B-C-B-A-B-C-D            Current cost: 35
A-B-A-B-C-B-A-B-H              Current cost: 28
A-B-A-B-C-B-A-B-H-A            Current cost: 32
A-B-A-B-C-B-A-B-H-B            Current cost: 33
A-B-A-B-C-B-A-B-H-G            Current cost: 30
A-B-A-B-C-B-A-H                Current cost: 24
A-B-A-B-C-B-A-H-A              Current cost: 28
A-B-A-B-C-B-A-H-A-B            Current cost: 31
A-B-A-B-C-B-A-H-A-H            Current cost: 32
A-B-A-B-C-B-A-H-B              Current cost: 29
A-B-A-B-C-B-A-H-B-A            Current cost: 32
A-B-A-B-C-B-A-H-B-C            Current cost: 33
A-B-A-B-C-B-A-H-B-H            Current cost: 34
A-B-A-B-C-B-A-H-G              Current cost: 26
A-B-A-B-C-B-A-H-G-C            Current cost: 29
A-B-A-B-C-B-A-H-G-H            Current cost: 28
A-B-A-B-C-B-A-H-G-D            Current cost: 34
A-B-A-B-C-B-A-H-G-F            Current cost: 30
A-B-A-B-C-B-C                  Current cost: 21
A-B-A-B-C-B-C-B                Current cost: 25
A-B-A-B-C-B-C-B-A              Current cost: 28
A-B-A-B-C-B-C-B-A-B            Current cost: 31
A-B-A-B-C-B-C-B-A-H            Current cost: 32
A-B-A-B-C-B-C-B-C              Current cost: 29
A-B-A-B-C-B-C-B-C-B            Current cost: 33
A-B-A-B-C-B-C-B-C-G            Current cost: 32
A-B-A-B-C-B-C-B-C-D            Current cost: 37
A-B-A-B-C-B-C-B-H              Current cost: 30
A-B-A-B-C-B-C-B-H-A            Current cost: 34
A-B-A-B-C-B-C-B-H-B            Current cost: 35
A-B-A-B-C-B-C-B-H-G            Current cost: 32
A-B-A-B-C-B-C-G                Current cost: 24
A-B-A-B-C-B-C-G-C              Current cost: 27
A-B-A-B-C-B-C-G-C-B            Current cost: 31
A-B-A-B-C-B-C-G-C-G            Current cost: 30
A-B-A-B-C-B-C-G-C-D            Current cost: 35
A-B-A-B-C-B-C-G-H              Current cost: 26
A-B-A-B-C-B-C-G-H-A            Current cost: 30
A-B-A-B-C-B-C-G-H-B            Current cost: 31
A-B-A-B-C-B-C-G-H-G            Current cost: 28
A-B-A-B-C-B-C-G-D              Current cost: 32
A-B-A-B-C-B-C-G-D-C            Current cost: 40
A-B-A-B-C-B-C-G-D-G            Current cost: 40
A-B-A-B-C-B-C-G-D-E            Current cost: 34
A-B-A-B-C-B-C-G-D-F            Current cost: 35
A-B-A-B-C-B-C-G-F              Current cost: 28
A-B-A-B-C-B-C-G-F-G            Current cost: 32
A-B-A-B-C-B-C-G-F-D            Current cost: 31
A-B-A-B-C-B-C-D                Current cost: 29
A-B-A-B-C-B-C-D-C              Current cost: 37
A-B-A-B-C-B-C-D-C-B            Current cost: 41
A-B-A-B-C-B-C-D-C-G            Current cost: 40
A-B-A-B-C-B-C-D-C-D            Current cost: 45
A-B-A-B-C-B-C-D-G              Current cost: 37
A-B-A-B-C-B-C-D-G-C            Current cost: 40
A-B-A-B-C-B-C-D-G-H            Current cost: 39
A-B-A-B-C-B-C-D-G-D            Current cost: 45
A-B-A-B-C-B-C-D-G-F            Current cost: 41
A-B-A-B-C-B-C-D-E              Current cost: 31
A-B-A-B-C-B-C-D-F              Current cost: 32
A-B-A-B-C-B-C-D-F-G            Current cost: 36
A-B-A-B-C-B-C-D-F-D            Current cost: 35
A-B-A-B-C-B-H                  Current cost: 22
A-B-A-B-C-B-H-A                Current cost: 26
A-B-A-B-C-B-H-A-B              Current cost: 29
A-B-A-B-C-B-H-A-B-A            Current cost: 32
A-B-A-B-C-B-H-A-B-C            Current cost: 33
A-B-A-B-C-B-H-A-B-H            Current cost: 34
A-B-A-B-C-B-H-A-H              Current cost: 30
A-B-A-B-C-B-H-A-H-A            Current cost: 34
A-B-A-B-C-B-H-A-H-B            Current cost: 35
A-B-A-B-C-B-H-A-H-G            Current cost: 32
A-B-A-B-C-B-H-B                Current cost: 27
A-B-A-B-C-B-H-B-A              Current cost: 30
A-B-A-B-C-B-H-B-A-B            Current cost: 33
A-B-A-B-C-B-H-B-A-H            Current cost: 34
A-B-A-B-C-B-H-B-C              Current cost: 31
A-B-A-B-C-B-H-B-C-B            Current cost: 35
A-B-A-B-C-B-H-B-C-G            Current cost: 34
A-B-A-B-C-B-H-B-C-D            Current cost: 39
A-B-A-B-C-B-H-B-H              Current cost: 32
A-B-A-B-C-B-H-B-H-A            Current cost: 36
A-B-A-B-C-B-H-B-H-B            Current cost: 37
A-B-A-B-C-B-H-B-H-G            Current cost: 34
A-B-A-B-C-B-H-G                Current cost: 24
A-B-A-B-C-B-H-G-C              Current cost: 27
A-B-A-B-C-B-H-G-C-B            Current cost: 31
A-B-A-B-C-B-H-G-C-G            Current cost: 30
A-B-A-B-C-B-H-G-C-D            Current cost: 35
A-B-A-B-C-B-H-G-H              Current cost: 26
A-B-A-B-C-B-H-G-H-A            Current cost: 30
A-B-A-B-C-B-H-G-H-B            Current cost: 31
A-B-A-B-C-B-H-G-H-G            Current cost: 28
A-B-A-B-C-B-H-G-D              Current cost: 32
A-B-A-B-C-B-H-G-D-C            Current cost: 40
A-B-A-B-C-B-H-G-D-G            Current cost: 40
A-B-A-B-C-B-H-G-D-E            Current cost: 34
A-B-A-B-C-B-H-G-D-F            Current cost: 35
A-B-A-B-C-B-H-G-F              Current cost: 28
A-B-A-B-C-B-H-G-F-G            Current cost: 32
A-B-A-B-C-B-H-G-F-D            Current cost: 31
A-B-A-B-C-G                    Current cost: 16
A-B-A-B-C-G-C                  Current cost: 19
A-B-A-B-C-G-C-B                Current cost: 23
A-B-A-B-C-G-C-B-A              Current cost: 26
A-B-A-B-C-G-C-B-A-B            Current cost: 29
A-B-A-B-C-G-C-B-A-H            Current cost: 30
A-B-A-B-C-G-C-B-C              Current cost: 27
A-B-A-B-C-G-C-B-C-B            Current cost: 31
A-B-A-B-C-G-C-B-C-G            Current cost: 30
A-B-A-B-C-G-C-B-C-D            Current cost: 35
A-B-A-B-C-G-C-B-H              Current cost: 28
A-B-A-B-C-G-C-B-H-A            Current cost: 32
A-B-A-B-C-G-C-B-H-B            Current cost: 33
A-B-A-B-C-G-C-B-H-G            Current cost: 30
A-B-A-B-C-G-C-G                Current cost: 22
A-B-A-B-C-G-C-G-C              Current cost: 25
A-B-A-B-C-G-C-G-C-B            Current cost: 29
A-B-A-B-C-G-C-G-C-G            Current cost: 28
A-B-A-B-C-G-C-G-C-D            Current cost: 33
A-B-A-B-C-G-C-G-H              Current cost: 24
A-B-A-B-C-G-C-G-H-A            Current cost: 28
A-B-A-B-C-G-C-G-H-B            Current cost: 29
A-B-A-B-C-G-C-G-H-G            Current cost: 26
A-B-A-B-C-G-C-G-D              Current cost: 30
A-B-A-B-C-G-C-G-D-C            Current cost: 38
A-B-A-B-C-G-C-G-D-G            Current cost: 38
A-B-A-B-C-G-C-G-D-E            Current cost: 32
A-B-A-B-C-G-C-G-D-F            Current cost: 33
A-B-A-B-C-G-C-G-F              Current cost: 26
A-B-A-B-C-G-C-G-F-G            Current cost: 30
A-B-A-B-C-G-C-G-F-D            Current cost: 29
A-B-A-B-C-G-C-D                Current cost: 27
A-B-A-B-C-G-C-D-C              Current cost: 35
A-B-A-B-C-G-C-D-C-B            Current cost: 39
A-B-A-B-C-G-C-D-C-G            Current cost: 38
A-B-A-B-C-G-C-D-C-D            Current cost: 43
A-B-A-B-C-G-C-D-G              Current cost: 35
A-B-A-B-C-G-C-D-G-C            Current cost: 38
A-B-A-B-C-G-C-D-G-H            Current cost: 37
A-B-A-B-C-G-C-D-G-D            Current cost: 43
A-B-A-B-C-G-C-D-G-F            Current cost: 39
A-B-A-B-C-G-C-D-E              Current cost: 29
A-B-A-B-C-G-C-D-F              Current cost: 30
A-B-A-B-C-G-C-D-F-G            Current cost: 34
A-B-A-B-C-G-C-D-F-D            Current cost: 33
A-B-A-B-C-G-H                  Current cost: 18
A-B-A-B-C-G-H-A                Current cost: 22
A-B-A-B-C-G-H-A-B              Current cost: 25
A-B-A-B-C-G-H-A-B-A            Current cost: 28
A-B-A-B-C-G-H-A-B-C            Current cost: 29
A-B-A-B-C-G-H-A-B-H            Current cost: 30
A-B-A-B-C-G-H-A-H              Current cost: 26
A-B-A-B-C-G-H-A-H-A            Current cost: 30
A-B-A-B-C-G-H-A-H-B            Current cost: 31
A-B-A-B-C-G-H-A-H-G            Current cost: 28
A-B-A-B-C-G-H-B                Current cost: 23
A-B-A-B-C-G-H-B-A              Current cost: 26
A-B-A-B-C-G-H-B-A-B            Current cost: 29
A-B-A-B-C-G-H-B-A-H            Current cost: 30
A-B-A-B-C-G-H-B-C              Current cost: 27
A-B-A-B-C-G-H-B-C-B            Current cost: 31
A-B-A-B-C-G-H-B-C-G            Current cost: 30
A-B-A-B-C-G-H-B-C-D            Current cost: 35
A-B-A-B-C-G-H-B-H              Current cost: 28
A-B-A-B-C-G-H-B-H-A            Current cost: 32
A-B-A-B-C-G-H-B-H-B            Current cost: 33
A-B-A-B-C-G-H-B-H-G            Current cost: 30
A-B-A-B-C-G-H-G                Current cost: 20
A-B-A-B-C-G-H-G-C              Current cost: 23
A-B-A-B-C-G-H-G-C-B            Current cost: 27
A-B-A-B-C-G-H-G-C-G            Current cost: 26
A-B-A-B-C-G-H-G-C-D            Current cost: 31
A-B-A-B-C-G-H-G-H              Current cost: 22
A-B-A-B-C-G-H-G-H-A            Current cost: 26
A-B-A-B-C-G-H-G-H-B            Current cost: 27
A-B-A-B-C-G-H-G-H-G            Current cost: 24
A-B-A-B-C-G-H-G-D              Current cost: 28
A-B-A-B-C-G-H-G-D-C            Current cost: 36
A-B-A-B-C-G-H-G-D-G            Current cost: 36
A-B-A-B-C-G-H-G-D-E            Current cost: 30
A-B-A-B-C-G-H-G-D-F            Current cost: 31
A-B-A-B-C-G-H-G-F              Current cost: 24
A-B-A-B-C-G-H-G-F-G            Current cost: 28
A-B-A-B-C-G-H-G-F-D            Current cost: 27
A-B-A-B-C-G-D                  Current cost: 24
A-B-A-B-C-G-D-C                Current cost: 32
A-B-A-B-C-G-D-C-B              Current cost: 36
A-B-A-B-C-G-D-C-B-A            Current cost: 39
A-B-A-B-C-G-D-C-B-C            Current cost: 40
A-B-A-B-C-G-D-C-B-H            Current cost: 41
A-B-A-B-C-G-D-C-G              Current cost: 35
A-B-A-B-C-G-D-C-G-C            Current cost: 38
A-B-A-B-C-G-D-C-G-H            Current cost: 37
A-B-A-B-C-G-D-C-G-D            Current cost: 43
A-B-A-B-C-G-D-C-G-F            Current cost: 39
A-B-A-B-C-G-D-C-D              Current cost: 40
A-B-A-B-C-G-D-C-D-C            Current cost: 48
A-B-A-B-C-G-D-C-D-G            Current cost: 48
A-B-A-B-C-G-D-C-D-E            Current cost: 42
A-B-A-B-C-G-D-C-D-F            Current cost: 43
A-B-A-B-C-G-D-G                Current cost: 32
A-B-A-B-C-G-D-G-C              Current cost: 35
A-B-A-B-C-G-D-G-C-B            Current cost: 39
A-B-A-B-C-G-D-G-C-G            Current cost: 38
A-B-A-B-C-G-D-G-C-D            Current cost: 43
A-B-A-B-C-G-D-G-H              Current cost: 34
A-B-A-B-C-G-D-G-H-A            Current cost: 38
A-B-A-B-C-G-D-G-H-B            Current cost: 39
A-B-A-B-C-G-D-G-H-G            Current cost: 36
A-B-A-B-C-G-D-G-D              Current cost: 40
A-B-A-B-C-G-D-G-D-C            Current cost: 48
A-B-A-B-C-G-D-G-D-G            Current cost: 48
A-B-A-B-C-G-D-G-D-E            Current cost: 42
A-B-A-B-C-G-D-G-D-F            Current cost: 43
A-B-A-B-C-G-D-G-F              Current cost: 36
A-B-A-B-C-G-D-G-F-G            Current cost: 40
A-B-A-B-C-G-D-G-F-D            Current cost: 39
A-B-A-B-C-G-D-E                Current cost: 26
A-B-A-B-C-G-D-F                Current cost: 27
A-B-A-B-C-G-D-F-G              Current cost: 31
A-B-A-B-C-G-D-F-G-C            Current cost: 34
A-B-A-B-C-G-D-F-G-H            Current cost: 33
A-B-A-B-C-G-D-F-G-D            Current cost: 39
A-B-A-B-C-G-D-F-G-F            Current cost: 35
A-B-A-B-C-G-D-F-D              Current cost: 30
A-B-A-B-C-G-D-F-D-C            Current cost: 38
A-B-A-B-C-G-D-F-D-G            Current cost: 38
A-B-A-B-C-G-D-F-D-E            Current cost: 32
A-B-A-B-C-G-D-F-D-F            Current cost: 33
A-B-A-B-C-G-F                  Current cost: 20
A-B-A-B-C-G-F-G                Current cost: 24
A-B-A-B-C-G-F-G-C              Current cost: 27
A-B-A-B-C-G-F-G-C-B            Current cost: 31
A-B-A-B-C-G-F-G-C-G            Current cost: 30
A-B-A-B-C-G-F-G-C-D            Current cost: 35
A-B-A-B-C-G-F-G-H              Current cost: 26
A-B-A-B-C-G-F-G-H-A            Current cost: 30
A-B-A-B-C-G-F-G-H-B            Current cost: 31
A-B-A-B-C-G-F-G-H-G            Current cost: 28
A-B-A-B-C-G-F-G-D              Current cost: 32
A-B-A-B-C-G-F-G-D-C            Current cost: 40
A-B-A-B-C-G-F-G-D-G            Current cost: 40
A-B-A-B-C-G-F-G-D-E            Current cost: 34
A-B-A-B-C-G-F-G-D-F            Current cost: 35
A-B-A-B-C-G-F-G-F              Current cost: 28
A-B-A-B-C-G-F-G-F-G            Current cost: 32
A-B-A-B-C-G-F-G-F-D            Current cost: 31
A-B-A-B-C-G-F-D                Current cost: 23
A-B-A-B-C-G-F-D-C              Current cost: 31
A-B-A-B-C-G-F-D-C-B            Current cost: 35
A-B-A-B-C-G-F-D-C-G            Current cost: 34
A-B-A-B-C-G-F-D-C-D            Current cost: 39
A-B-A-B-C-G-F-D-G              Current cost: 31
A-B-A-B-C-G-F-D-G-C            Current cost: 34
A-B-A-B-C-G-F-D-G-H            Current cost: 33
A-B-A-B-C-G-F-D-G-D            Current cost: 39
A-B-A-B-C-G-F-D-G-F            Current cost: 35
A-B-A-B-C-G-F-D-E              Current cost: 25
A-B-A-B-C-G-F-D-F              Current cost: 26
A-B-A-B-C-G-F-D-F-G            Current cost: 30
A-B-A-B-C-G-F-D-F-D            Current cost: 29
A-B-A-B-C-D                    Current cost: 21
A-B-A-B-C-D-C                  Current cost: 29
A-B-A-B-C-D-C-B                Current cost: 33
A-B-A-B-C-D-C-B-A              Current cost: 36
A-B-A-B-C-D-C-B-A-B            Current cost: 39
A-B-A-B-C-D-C-B-A-H            Current cost: 40
A-B-A-B-C-D-C-B-C              Current cost: 37
A-B-A-B-C-D-C-B-C-B            Current cost: 41
A-B-A-B-C-D-C-B-C-G            Current cost: 40
A-B-A-B-C-D-C-B-C-D            Current cost: 45
A-B-A-B-C-D-C-B-H              Current cost: 38
A-B-A-B-C-D-C-B-H-A            Current cost: 42
A-B-A-B-C-D-C-B-H-B            Current cost: 43
